Last Name,First Name,Type,MAIN QUEST NPC,SIDE QUEST NPC,Lifestyle,House Name,Faction,Occupation,Age,Bar Disposition,Party Disposition
,Xy'sar,Citizen,0,0,Comfortable,Unaffiliated,Independent,Lizardfolk Merchant,28,-8,-15
,Zemk,Citizen,1,0,Comfortable,Unaffiliated,Independent,Duergar Thug,64,-79,-92
'Tas' Velldarn,Tasselgryn,Citizen,0,0,Comfortable,Unaffiliated,Poisoned Quill,Archmage,52,9,-7
'The Hammer' Blund,Halthos,Citizen,0,0,Modest,Unaffiliated,Guild Clerk,Guild Member,23,10,7
'Volo' Geddarm,Volothamp,Citizen,0,0,Wealthy,Unaffiliated,Independent,Author/Explorer/Brand Ambassador,60,39,38
(Clone),Manshoon,Citizen,1,0,Wealthy,Unaffiliated,Zhentarim,Rogue Leader,34,-61,-48
Adabrent,Aesanna,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",98,20,10
Adabrent,Alroy,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",53,-27,-15
Adabrent,Cora,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",68,50,57
Adabrent,Corel,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",51,56,42
Adabrent,Darel,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",36,37,28
Adabrent,Davith,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",75,38,41
Adabrent,Fenas,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",60,-4,1
Adabrent,Galar,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",89,-18,-27
Adabrent,Galith,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",59,48,36
Adabrent,Galyr,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",75,2,-3
Adabrent,Garan,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",115,-23,-19
Adabrent,Halyn,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",62,-14,-24
Adabrent,Ilyth,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",63,53,60
Adabrent,Joryr,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",100,45,56
Adabrent,Maran,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",80,18,26
Adabrent,Nya,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",108,37,29
Adabrent,Royus,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",82,21,14
Adabrent,Uthius,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",37,16,14
Adabrent,Xylen,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",78,-28,-13
Adabrent,Yaren,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",116,-13,-26
Adabrent,Zoranna,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",60,-11,-9
Adabrent,Zoror,Noble,0,0,Wealthy,Adabrent,House Adabrent,"Shipping, navigating, cartography, exploration",75,58,65
Agundar,Alor,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",33,-13,-1
Agundar,Bresos,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",49,-21,-28
Agundar,Casas,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",51,49,50
Agundar,Corar,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",29,-21,-36
Agundar,Corius,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",72,-21,-32
Agundar,Daran,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",81,-21,-15
Agundar,Daras,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",89,33,23
Agundar,Daria,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",97,-12,-21
Agundar,Daryr,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",14,39,33
Agundar,Erean,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",38,-2,13
Agundar,Fenas,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",10,-22,-18
Agundar,Ilya,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",92,35,33
Agundar,Ilyis,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",44,26,26
Agundar,Joren,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",16,7,7
Agundar,Kaela,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",10,22,10
Agundar,Marin,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",33,35,47
Agundar,Marius,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",86,24,22
Agundar,Marius,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",19,27,31
Agundar,Nyin,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",83,55,61
Agundar,Pryyn,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",58,4,-6
Agundar,Qilis,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",11,18,5
Agundar,Sylar,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",43,18,11
Agundar,Tora,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",30,1,-2
Agundar,Torith,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",74,31,40
Agundar,Torres,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",64,-25,-22
Agundar,Xyleth,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",72,40,44
Agundar,Zorith,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",74,0,-13
Agundar,Zorius,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",72,-30,-24
Agundar,Zoryn,Noble,0,0,Wealthy,Agundar,House Agundar,"Mercenary fighting, warrior training, sword forging",32,-30,-23
Amcathra,Alius,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",95,44,56
Amcathra,Arilos,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",65,56,49
Amcathra,Bresith,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",17,44,56
Amcathra,Coranna,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",89,-19,-11
Amcathra,Corel,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",53,3,-1
Amcathra,Davros,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",41,9,-5
Amcathra,Erear,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",51,2,11
Amcathra,Galel,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",60,-19,-7
Amcathra,Ilyin,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",58,9,-6
Amcathra,Lorar,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",47,-11,-11
Amcathra,Marar,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",17,-3,2
Amcathra,Maron,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",98,36,47
Amcathra,Qilyn,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",82,13,-1
Amcathra,Qilyn,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",34,-18,-24
Amcathra,Raelor,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",36,6,2
Amcathra,Uthor,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",69,24,14
Amcathra,Vaelin,Noble,0,0,Wealthy,Amcathra,House Amcathra,"Wine, sword forging, horse breeding, and training",42,42,55
Ammakyl,Aesith,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",24,19,31
Ammakyl,Aesth,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",23,40,53
Ammakyl,Alin,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",21,7,12
Ammakyl,Belas,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",67,-2,-6
Ammakyl,Belus,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",22,-21,-14
Ammakyl,Bresar,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",56,-13,2
Ammakyl,Casas,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",33,-15,-7
Ammakyl,Casyn,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",67,7,5
Ammakyl,Coris,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",20,17,22
Ammakyl,Davth,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",7,37,41
Ammakyl,Elth,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",1,47,35
Ammakyl,Ereia,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",82,59,49
Ammakyl,Faear,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",2,6,-5
Ammakyl,Faeen,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",24,-20,-24
Ammakyl,Faeth,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",37,-27,-16
Ammakyl,Fenis,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",68,51,49
Ammakyl,Fenius,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",28,3,-3
Ammakyl,Fenos,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",26,43,46
Ammakyl,Garel,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",1,37,26
Ammakyl,Garor,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",57,26,14
Ammakyl,Gural,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",22,-22,-18
Ammakyl,Halis,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",15,-26,-29
Ammakyl,Halos,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",75,5,6
Ammakyl,Halus,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",30,-28,-38
Ammakyl,Ilyia,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",1,-30,-41
Ammakyl,Jadzia,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",44,54,47
Ammakyl,Kaelia,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",51,-4,-7
Ammakyl,Luth,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",48,36,35
Ammakyl,Mareth,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",69,5,-10
Ammakyl,Nyan,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",39,-9,-8
Ammakyl,Nyis,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",14,4,12
Ammakyl,Nyith,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",66,47,40
Ammakyl,Pryas,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",60,14,23
Ammakyl,Qila,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",70,21,15
Ammakyl,Qilin,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",45,30,38
Ammakyl,Raelis,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",59,-10,1
Ammakyl,Raelos,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",82,8,8
Ammakyl,Sylia,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",13,41,35
Ammakyl,Uthia,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",73,22,33
Ammakyl,Uthyn,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",76,-29,-26
Ammakyl,Wyna,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",14,58,60
Ammakyl,Xylas,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",18,16,5
Ammakyl,Xylin,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",45,39,29
Ammakyl,Xylos,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",8,-15,-1
Ammakyl,Yaren,Noble,0,0,Wealthy,Ammakyl,House Ammakyl,"Farming, winemaking",28,-25,-17
Anteos,Aleth,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",70,-27,-12
Anteos,Belyr,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",46,24,23
Anteos,Casth,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",72,16,30
Anteos,Coria,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",20,-24,-30
Anteos,Coros,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",66,45,49
Anteos,Davin,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",28,30,28
Anteos,Dulbrawan,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",54,56,69
Anteos,Dulbrawan II,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",34,39,53
Anteos,Faeanna,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",8,38,28
Anteos,Faeen,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",9,17,2
Anteos,Faeis,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",7,45,51
Anteos,Garar,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",33,-15,-13
Anteos,Garus,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",86,-14,-11
Anteos,Joris,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",23,58,68
Anteos,Jorius,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",53,28,35
Anteos,Kaela,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",43,1,-2
Anteos,Loran,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",54,30,41
Anteos,Lorel,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",1,-30,-17
Anteos,Nyus,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",44,44,42
Anteos,Ora,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",52,32,18
Anteos,Prya,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",85,-21,-29
Anteos,Qilon,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",32,23,17
Anteos,Raelyn,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",29,26,37
Anteos,Ranaya,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",51,47,54
Anteos,Uthan,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",19,54,46
Anteos,Vaelis,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",41,59,72
Anteos,Wynin,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",27,52,43
Anteos,Wynos,Noble,0,0,Wealthy,Anteos,House Anteos,"Trading, moneychanging and barter",73,58,67
Appleton,Artis,Citizen,0,1,Modest,Unaffiliated,Independent,Grocer,31,62,49
Artemel,Aeseth,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",59,15,10
Artemel,Alen,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",47,50,62
Artemel,Bresnoss,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",81,11,19
Artemel,Corin,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",77,31,45
Artemel,Daron,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",48,14,4
Artemel,Elin,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",60,58,71
Artemel,Elith,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",77,48,63
Artemel,Ereanna,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",46,19,21
Artemel,Faeas,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",76,53,61
Artemel,Fena,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",91,-10,-25
Artemel,Fenel,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",115,55,68
Artemel,Fenth,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",63,-10,-2
Artemel,Garar,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",38,1,2
Artemel,Hala,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",110,-6,-3
Artemel,Halyr,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",56,8,20
Artemel,Ilyius,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",37,11,26
Artemel,Ilyon,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",31,4,-8
Artemel,Ilyor,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",78,53,52
Artemel,Joror,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",57,-24,-21
Artemel,Loryn,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",28,-21,-31
Artemel,Lydda,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",74,26,15
Artemel,Marus,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",73,-11,-6
Artemel,Oras,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",81,-27,-22
Artemel,Ord,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",61,-24,-23
Artemel,Pryas,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",63,22,10
Artemel,Sylel,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",84,-11,-14
Artemel,Vaelis,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",54,-28,-16
Artemel,Wyna,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",40,49,37
Artemel,Wynas,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",32,39,33
Artemel,Yaranna,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",56,55,70
Artemel,Yarius,Noble,0,0,Wealthy,Artemel,House Artemel,"Hunting (boar, monsters), moneylending",27,58,48
Assumbar,Aesith,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",106,22,30
Assumbar,Aeson,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",70,-29,-40
Assumbar,Alen,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",59,-4,11
Assumbar,Elus,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",79,20,23
Assumbar,Kerri,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",74,5,-10
Assumbar,Laeros,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",82,-29,-38
Assumbar,Loryr,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",100,38,29
Assumbar,Myklos,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",52,33,32
Assumbar,Oreth,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",72,59,62
Assumbar,Orius,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",59,10,7
Assumbar,Qilon,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",85,-19,-29
Assumbar,Sylel,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",52,-8,-6
Assumbar,Torus,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",97,23,23
Assumbar,Uthon,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",111,53,61
Assumbar,Uthos,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",36,17,4
Assumbar,Xylor,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",72,-20,-15
Assumbar,Xylus,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",80,48,61
Assumbar,Xylyn,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",96,-14,0
Assumbar,Zorius,Noble,0,0,Wealthy,Assumbar,House Assumbar,"Carpentry, designing exotic and splendid carriages",105,41,52
Athosar,Prior,Citizen,0,0,Modest,Unaffiliated,Independent,Cleric of Lathander,31,77,81
Auvryndar,T'rissa,Citizen,0,0,Wealthy,Unaffiliated,Independent,Drow Priestess,38,-55,-67
Baenre,Jarlaxle,Citizen,1,0,Wealthy,Unaffiliated,as Zardoz Zord,Leader of Bregan D'aerthe,69,14,-3
Belabranta,Aesth,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",52,50,35
Belabranta,Alith,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",71,-27,-16
Belabranta,Alyn,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",26,15,13
Belabranta,Belel,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",34,58,67
Belabranta,Casus,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",38,14,23
Belabranta,Darius,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",97,-20,-35
Belabranta,Elin,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",48,15,6
Belabranta,Erean,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",63,-21,-35
Belabranta,Huld,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",81,36,39
Belabranta,Kaelas,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",95,6,12
Belabranta,Mareth,Noble,0,0,Wealthy,Belabranta,House Belabranta,"Griffon breeding and taming, hunting",99,16,14
